,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,MSFT,2017-08-10 00:00:00+00:00,71.41,72.19,71.35,71.9,23153711,66.869035673,67.5994354465,66.812851075,67.3278765563,23153711,0.0,1.0
1,MSFT,2017-08-11 00:00:00+00:00,72.5,72.7,71.28,71.61,21121250,67.8897225359,68.0770045291,66.7473023774,67.0563176662,21121250,0.0,1.0
2,MSFT,2017-08-14 00:00:00+00:00,73.59,73.72,72.95,73.06,19756773,68.9104093989,69.0321426945,68.3111070206,68.4141121169,19756773,0.0,1.0
3,MSFT,2017-08-15 00:00:00+00:00,73.22,73.59,73.04,73.59,17791179,68.9291375982,69.2774547371,68.7596860171,69.2774547371,17791179,0.39,1.0
4,MSFT,2017-08-16 00:00:00+00:00,73.65,74.1,73.17,73.34,17814317,69.3339385975,69.75756755020001,68.8820677146,69.0421053189,17814317,0.0,1.0
5,MSFT,2017-08-17 00:00:00+00:00,72.4,73.87,72.4,73.58,21834250,68.1571915066,69.5410460855,68.1571915066,69.2680407604,21834250,0.0,1.0
6,MSFT,2017-08-18 00:00:00+00:00,72.49,72.84,71.93,72.27,18215276,68.2419172971,68.5714064826,67.71473460039999,68.0348098091,18215276,0.0,1.0
7,MSFT,2017-08-21 00:00:00+00:00,72.15,72.48,71.7,72.47,17656716,67.9218420884,68.2325033204,67.49821313560001,68.2230893436,17656716,0.0,1.0
8,MSFT,2017-08-22 00:00:00+00:00,73.16,73.24,72.35,72.35,14183146,68.8726537378,68.9479655517,68.1101216229,68.1101216229,14183146,0.0,1.0
9,MSFT,2017-08-23 00:00:00+00:00,72.72,73.15,72.53,72.96,13586784,68.4584387618,68.86323976109999,68.279573204,68.6843742033,13586784,0.0,1.0
10,MSFT,2017-08-24 00:00:00+00:00,72.69,72.86,72.07,72.74,15980144,68.4301968316,68.590234436,67.8465302745,68.4772667153,15980144,0.0,1.0
11,MSFT,2017-08-25 00:00:00+00:00,72.82,73.35,72.48,72.86,12574503,68.5525785291,69.0515192957,68.2325033204,68.590234436,12574503,0.0,1.0
12,MSFT,2017-08-28 00:00:00+00:00,72.83,73.09,72.55,73.06,14112777,68.56199250579999,68.8067559007,68.2984011575,68.7785139706,14112777,0.0,1.0
13,MSFT,2017-08-29 00:00:00+00:00,73.05,73.16,72.05,72.25,11325418,68.7690999938,68.8726537378,67.82770232109999,68.0159818556,11325418,0.0,1.0
14,MSFT,2017-08-30 00:00:00+00:00,74.01,74.2099,72.8293,73.01,16826094,69.6728417597,69.86102715439999,68.5613335275,68.7314440869,16826094,0.0,1.0
15,MSFT,2017-08-31 00:00:00+00:00,74.77,74.96,73.8,74.03,26688077,70.388303991,70.5671695488,69.4751482484,69.6916697131,26688077,0.0,1.0
16,MSFT,2017-09-01 00:00:00+00:00,73.94,74.74,73.64,74.71,21593192,69.6069439226,70.3600620608,69.3245246208,70.33182013060001,21593192,0.0,1.0
17,MSFT,2017-09-05 00:00:00+00:00,73.61,73.89,72.98,73.34,21432599,69.29628269060001,69.5598740389,68.7032021567,69.0421053189,21432599,0.0,1.0
18,MSFT,2017-09-06 00:00:00+00:00,73.4,74.04,73.35,73.74,15945136,69.0985891793,69.7010836898,69.0515192957,69.418664388,15945136,0.0,1.0
19,MSFT,2017-09-07 00:00:00+00:00,74.34,74.6,73.6,73.68,17165518,69.9835029917,70.2282663866,69.2868687138,69.3621805277,17165518,0.0,1.0
20,MSFT,2017-09-08 00:00:00+00:00,73.98,74.44,73.84,74.33,14474383,69.6445998295,70.0776427589,69.5128041553,69.9740890149,14474383,0.0,1.0
21,MSFT,2017-09-11 00:00:00+00:00,74.76,74.945,74.31,74.31,17428067,70.3788900142,70.5530485837,69.9552610615,69.9552610615,17428067,0.0,1.0
22,MSFT,2017-09-12 00:00:00+00:00,74.68,75.24,74.37,74.76,14003880,70.3035782004,70.8307608971,70.01174492189999,70.3788900142,14003880,0.0,1.0
23,MSFT,2017-09-13 00:00:00+00:00,75.21,75.23,74.55,74.93,12998629,70.802518967,70.8213469204,70.1811965029,70.5389276186,12998629,0.0,1.0
24,MSFT,2017-09-14 00:00:00+00:00,74.77,75.49,74.52,75.0,15373384,70.388303991,71.0661103153,70.1529545728,70.6048254557,15373384,0.0,1.0
25,MSFT,2017-09-15 00:00:00+00:00,75.31,75.39,74.07,74.83,37901927,70.8966587342,70.9719705481,69.72932562,70.4447878513,37901927,0.0,1.0
26,MSFT,2017-09-18 00:00:00+00:00,75.16,75.97,75.04,75.23,22730355,70.7554490833,71.51798119819999,70.64248136260001,70.8213469204,22730355,0.0,1.0
27,MSFT,2017-09-19 00:00:00+00:00,75.44,75.71,75.01,75.21,15606870,71.0190404317,71.2732178033,70.6142394324,70.802518967,15606870,0.0,1.0
28,MSFT,2017-09-20 00:00:00+00:00,74.94,75.55,74.31,75.35,20415084,70.5483415953,71.1225941757,69.9552610615,70.9343146411,20415084,0.0,1.0
29,MSFT,2017-09-21 00:00:00+00:00,74.21,75.24,74.11,75.11,19038998,69.8611212942,70.8307608971,69.7669815269,70.7083791997,19038998,0.0,1.0
30,MSFT,2017-09-22 00:00:00+00:00,74.41,74.51,73.85,73.99,13969937,70.0494008288,70.14354059600001,69.52221813199999,69.6540138062,13969937,0.0,1.0
31,MSFT,2017-09-25 00:00:00+00:00,73.26,74.25,72.92,74.09,23502422,68.9667935051,69.8987772011,68.64671829640001,69.7481535735,23502422,0.0,1.0
32,MSFT,2017-09-26 00:00:00+00:00,73.26,73.81,72.99,73.67,17105469,68.9667935051,69.4845622251,68.7126161335,69.3527665509,17105469,0.0,1.0
33,MSFT,2017-09-27 00:00:00+00:00,73.85,74.17,73.17,73.55,18934048,69.52221813199999,69.82346538729999,68.8820677146,69.2397988302,18934048,0.0,1.0
34,MSFT,2017-09-28 00:00:00+00:00,73.87,73.97,73.31,73.54,10814063,69.5410460855,69.63518585279999,69.0138633887,69.2303848535,10814063,0.0,1.0
35,MSFT,2017-09-29 00:00:00+00:00,74.49,74.535,73.88,73.94,16700435,70.1247126426,70.1670755379,69.5504600622,69.6069439226,16700435,0.0,1.0
36,MSFT,2017-10-02 00:00:00+00:00,74.61,75.01,74.295,74.71,15210338,70.2376803633,70.6142394324,69.9411400964,70.33182013060001,15210338,0.0,1.0
37,MSFT,2017-10-03 00:00:00+00:00,74.26,74.88,74.195,74.67,11935853,69.9081911779,70.491857735,69.8470003291,70.2941642237,11935853,0.0,1.0
38,MSFT,2017-10-04 00:00:00+00:00,74.69,74.72,73.71,74.0,13287346,70.3129921771,70.3412341073,69.3904224578,69.6634277829,13287346,0.0,1.0
39,MSFT,2017-10-05 00:00:00+00:00,75.97,76.12,74.96,75.22,20656238,71.51798119819999,71.6591908492,70.5671695488,70.8119329437,20656238,0.0,1.0
40,MSFT,2017-10-06 00:00:00+00:00,76.0,76.03,75.54,75.67,13692791,71.5462231284,71.5744650586,71.113180199,71.2355618964,13692791,0.0,1.0
41,MSFT,2017-10-09 00:00:00+00:00,76.29,76.55,75.86,75.97,11364275,71.8192284535,72.06399184840001,71.4144274542,71.51798119819999,11364275,0.0,1.0
42,MSFT,2017-10-10 00:00:00+00:00,76.29,76.63,76.14,76.33,13734627,71.8192284535,72.1393036623,71.67801880260001,71.8568843604,13734627,0.0,1.0
43,MSFT,2017-10-11 00:00:00+00:00,76.42,76.46,75.95,76.36,14780652,71.941610151,71.9792660579,71.4991532448,71.8851262906,14780652,0.0,1.0
44,MSFT,2017-10-12 00:00:00+00:00,77.12,77.29,76.37,76.49,16778148,72.6005885219,72.7606261263,71.8945402673,72.0075079881,16778148,0.0,1.0
45,MSFT,2017-10-13 00:00:00+00:00,77.49,77.87,77.29,77.59,15250772,72.9489056608,73.3066367765,72.7606261263,73.0430454281,15250772,0.0,1.0
46,MSFT,2017-10-16 00:00:00+00:00,77.65,77.81,77.35,77.42,12331147,73.0995292884,73.25015291609999,72.8171099866,72.8830078237,12331147,0.0,1.0
47,MSFT,2017-10-17 00:00:00+00:00,77.59,77.62,77.25,77.47,15953665,73.0430454281,73.0712873583,72.7229702194,72.9300777074,15953665,0.0,1.0
48,MSFT,2017-10-18 00:00:00+00:00,77.61,77.85,77.37,77.67,13147124,73.06187338149999,73.287808823,72.8359379401,73.1183572419,13147124,0.0,1.0
49,MSFT,2017-10-19 00:00:00+00:00,77.91,77.93,77.35,77.57,14982129,73.3442926834,73.3631206368,72.8171099866,73.02421747460001,14982129,0.0,1.0
50,MSFT,2017-10-20 00:00:00+00:00,78.81,78.97,78.22,78.32,22517092,74.1915505888,74.3421742165,73.63612596189999,73.7302657292,22517092,0.0,1.0
51,MSFT,2017-10-23 00:00:00+00:00,78.83,79.34,78.76,78.99,20479731,74.21037854229999,74.6904913554,74.14448070520001,74.3610021699,20479731,0.0,1.0
52,MSFT,2017-10-24 00:00:00+00:00,78.86,79.2,78.46,78.9,16613928,74.2386204725,74.55869568119999,73.8620614034,74.2762763794,16613928,0.0,1.0
53,MSFT,2017-10-25 00:00:00+00:00,78.63,79.1,78.01,78.58,19714512,74.0220990077,74.4645559139,73.4384324506,73.9750291241,19714512,0.0,1.0
54,MSFT,2017-10-26 00:00:00+00:00,78.76,79.42,78.75,79.2,29181652,74.14448070520001,74.7658031692,74.13506672850001,74.55869568119999,29181652,0.0,1.0
55,MSFT,2017-10-27 00:00:00+00:00,83.81,86.2,83.61,84.37,70877350,78.8985389525,81.1484793904,78.710259418,79.4257216493,70877350,0.0,1.0
56,MSFT,2017-10-30 00:00:00+00:00,83.89,84.325,83.105,83.7,31291801,78.9738507664,79.383358754,78.2348535933,78.79498520850001,31291801,0.0,1.0
57,MSFT,2017-10-31 00:00:00+00:00,83.18,84.36,83.11,84.36,26728947,78.3054584187,79.4163076726,78.2395605816,79.4163076726,26728947,0.0,1.0
58,MSFT,2017-11-01 00:00:00+00:00,83.18,83.76,82.88,83.68,22039635,78.3054584187,78.8514690689,78.0230391169,78.7761572551,22039635,0.0,1.0
59,MSFT,2017-11-02 00:00:00+00:00,84.05,84.46,83.12,83.35,23822964,79.12447439399999,79.51044743979999,78.24897455840001,78.4654960231,23822964,0.0,1.0
60,MSFT,2017-11-03 00:00:00+00:00,84.14,84.54,83.4,84.08,17569120,79.20920018449999,79.5857592536,78.5125659067,79.1527163242,17569120,0.0,1.0
61,MSFT,2017-11-06 00:00:00+00:00,84.47,84.7,84.0825,84.2,19039847,79.5198614166,79.7363828813,79.15506981840001,79.2656840449,19039847,0.0,1.0
62,MSFT,2017-11-07 00:00:00+00:00,84.27,84.9,83.93,84.77,17152583,79.331581882,79.9246624158,79.0115066733,79.8022807184,17152583,0.0,1.0
63,MSFT,2017-11-08 00:00:00+00:00,84.56,84.61,83.83,84.14,17593880,79.6045872071,79.6516570907,78.917366906,79.20920018449999,17593880,0.0,1.0
64,MSFT,2017-11-09 00:00:00+00:00,84.09,84.27,82.9,84.11,20924172,79.1621303009,79.331581882,78.0418670703,79.1809582544,20924172,0.0,1.0
65,MSFT,2017-11-10 00:00:00+00:00,83.87,84.095,83.23,83.79,19340435,78.9550228129,79.1668372893,78.3525283024,78.8797109991,19340435,0.0,1.0
66,MSFT,2017-11-13 00:00:00+00:00,83.93,83.94,83.46,83.66,14080820,79.0115066733,79.02092065,78.5690497671,78.7573293016,14080820,0.0,1.0
67,MSFT,2017-11-14 00:00:00+00:00,84.05,84.1,82.98,83.5,18604034,79.12447439399999,79.1715442776,78.1171788842,78.606705674,18604034,0.0,1.0
68,MSFT,2017-11-15 00:00:00+00:00,82.98,83.69,82.69,83.47,19097333,78.5125659067,79.1843412959,78.2381787759,78.9761855415,19097333,0.42,1.0
69,MSFT,2017-11-16 00:00:00+00:00,83.2,83.42,82.94,83.1,20659209,78.7207216611,78.9288774155,78.4747194059,78.62610540909999,20659209,0.0,1.0
70,MSFT,2017-11-17 00:00:00+00:00,82.4,83.12,82.24,83.12,21715498,77.9637916451,78.6450286595,77.8124056419,78.6450286595,21715498,0.0,1.0
71,MSFT,2017-11-20 00:00:00+00:00,82.53,82.59,82.25,82.4,16072495,78.08679277270001,78.1435625239,77.8218672671,77.9637916451,16072495,0.0,1.0
72,MSFT,2017-11-21 00:00:00+00:00,83.72,83.84,82.74,82.74,21237454,79.2127261715,79.3262656739,78.2854869019,78.2854869019,21237454,0.0,1.0
73,MSFT,2017-11-22 00:00:00+00:00,83.11,83.9,83.04,83.83,20213704,78.63556703430001,79.3830354251,78.5693356579,79.31680404869999,20213704,0.0,1.0
74,MSFT,2017-11-24 00:00:00+00:00,83.26,83.43,82.78,83.01,7425503,78.7774914123,78.9383390407,78.3233334027,78.5409507823,7425503,0.0,1.0
75,MSFT,2017-11-27 00:00:00+00:00,83.87,83.98,83.3,83.31,17603760,79.3546505495,79.4587284267,78.81533791310001,78.8247995383,17603760,0.0,1.0
76,MSFT,2017-11-28 00:00:00+00:00,84.88,85.06,84.02,84.07,21162639,80.3102746947,80.48058394819999,79.4965749275,79.54388305350001,21162639,0.0,1.0
77,MSFT,2017-11-29 00:00:00+00:00,83.34,84.92,83.18,84.71,27358477,78.85318441390001,80.3481211955,78.7017984107,80.1494270663,27358477,0.0,1.0
78,MSFT,2017-11-30 00:00:00+00:00,84.17,84.52,83.34,83.51,32998408,79.6384993055,79.9696561875,78.85318441390001,79.0140320423,32998408,0.0,1.0
79,MSFT,2017-12-01 00:00:00+00:00,84.26,84.81,83.22,83.6,29387325,79.7236539323,80.2440433183,78.7396449115,79.09918666909999,29387325,0.0,1.0
80,MSFT,2017-12-04 00:00:00+00:00,81.08,84.4299,80.7,84.42,37977732,76.7148571188,79.8844069444,76.3553153612,79.8750399355,37977732,0.0,1.0
81,MSFT,2017-12-05 00:00:00+00:00,81.59,82.68,80.9801,81.34,25512120,77.197400004,78.22871715069999,76.620335483,76.960859374,25512120,0.0,1.0
82,MSFT,2017-12-06 00:00:00+00:00,82.78,83.14,81.43,81.55,24821403,78.3233334027,78.66395190989999,77.0460140008,77.1595535032,24821403,0.0,1.0
